tap                                             fed                   real
L00.0 attn_o_pre_inverse_rope        0.00e+00 100.00%        1.53e-04 99.49%
L00.0 attn_out                        1.81e-04 99.33%        9.59e-04 88.45%
L00.0 h                               5.37e-04 97.32%        1.17e-03 88.40%
L00.1 attn_o_pre_inverse_rope        0.00e+00 100.00%        7.71e-05 99.85%
L00.1 attn_out                        1.88e-04 99.28%        6.57e-04 93.79%
L00.1 h                               6.18e-04 97.25%        1.15e-03 91.44%
L01.0 attn_o_pre_inverse_rope        0.00e+00 100.00%        2.27e-03 63.45%
L01.0 attn_out                        1.57e-04 99.42%        3.90e-03 39.58%
L01.0 h                               4.36e-04 92.55%        1.10e-03 69.75%
L01.1 attn_o_pre_inverse_rope        0.00e+00 100.00%        2.21e-03 65.17%
L01.1 attn_out                        1.78e-04 99.32%        3.77e-03 40.19%
L01.1 h                               1.24e-03 92.36%        2.80e-03 72.18%
L02.0 attn_o_pre_inverse_rope        0.00e+00 100.00%        3.71e-03 46.10%
L02.0 attn_out                        1.76e-04 99.38%        5.30e-03 31.46%
L02.0 h                               5.45e-04 85.01%        1.34e-03 56.25%
L02.1 attn_o_pre_inverse_rope        0.00e+00 100.00%        3.15e-03 53.15%
L02.1 attn_out                        1.68e-04 99.45%        5.21e-03 31.76%
L02.1 h                               1.70e-03 85.12%        3.73e-03 57.18%
L03.0 attn_o_pre_inverse_rope        0.00e+00 100.00%        3.62e-03 44.79%
L03.0 attn_out                        1.70e-04 99.43%        5.43e-03 30.69%
L03.0 h                               7.41e-04 80.42%        1.64e-03 52.96%
L03.1 attn_o_pre_inverse_rope        0.00e+00 100.00%        3.50e-03 46.63%
L03.1 attn_out                        1.83e-04 99.35%        5.49e-03 30.32%
L03.1 h                               2.20e-03 80.53%        4.25e-03 53.61%
L04.0 attn_o_pre_inverse_rope        0.00e+00 100.00%        4.06e-03 40.24%
L04.0 attn_out                        2.03e-04 99.26%        6.49e-03 26.04%
L04.0 h                               7.96e-04 75.20%        1.62e-03 49.94%
L04.1 attn_o_pre_inverse_rope        0.00e+00 100.00%        4.12e-03 39.74%
L04.1 attn_out                        1.87e-04 99.33%        6.52e-03 26.03%
L04.1 h                               2.60e-03 74.27%        4.66e-03 49.84%
L05.0 attn_o_pre_inverse_rope        0.00e+00 100.00%        4.45e-03 37.76%
L05.0 attn_out                        1.68e-04 99.48%        6.93e-03 24.64%
L05.0 h                               7.92e-04 71.48%        1.56e-03 48.13%
L05.1 attn_o_pre_inverse_rope        0.00e+00 100.00%        4.61e-03 36.34%
L05.1 attn_out                        1.80e-04 99.40%        7.14e-03 24.00%
L05.1 h                               2.88e-03 70.34%        4.91e-03 47.73%
L06.0 attn_o_pre_inverse_rope        0.00e+00 100.00%        4.42e-03 39.31%
L06.0 attn_out                        1.55e-04 99.50%        6.62e-03 25.86%
L06.0 h                               9.63e-04 67.85%        1.81e-03 45.81%
L06.1 attn_o_pre_inverse_rope        0.00e+00 100.00%        4.71e-03 37.22%
L06.1 attn_out                        1.87e-04 99.35%        6.95e-03 24.75%
L06.1 h                               3.10e-03 66.70%        5.15e-03 45.26%
L07.0 attn_o_pre_inverse_rope        0.00e+00 100.00%        4.34e-03 39.87%
L07.0 attn_out                        1.69e-04 99.45%        6.58e-03 25.94%
L07.0 h                               1.25e-03 63.53%        2.19e-03 42.26%
L07.1 attn_o_pre_inverse_rope        0.00e+00 100.00%        4.61e-03 37.72%
L07.1 attn_out                        1.71e-04 99.42%        6.95e-03 24.55%
L07.1 h                               3.27e-03 62.11%        5.32e-03 41.30%
L08.0 attn_o_pre_inverse_rope        0.00e+00 100.00%        4.14e-03 42.59%
L08.0 attn_out                        1.82e-04 99.33%        6.64e-03 25.39%
L08.0 h                               1.12e-03 59.56%        1.96e-03 37.82%
